Date Time,T (degC),rh (%),p (mbar),wv (m/s),wd (deg),prediction,anomaly_score,anomaly_type,severity
2017-01-01 01:00:00,-5.44,77.0,998.99,1.6,209.6,1,0.06788275173033931,Pattern-Based Anomaly,Low
2017-01-01 01:10:00,-5.32,76.4,998.86,0.97,203.6,1,0.09769889531645626,Pattern-Based Anomaly,Low
2017-01-01 01:20:00,-5.41,76.4,998.76,0.8,212.7,1,0.09550735205729327,Pattern-Based Anomaly,Low
2017-01-01 01:30:00,-5.54,76.8,998.72,0.58,175.2,1,0.09327514938384945,Pattern-Based Anomaly,Low
2017-01-01 01:40:00,-5.65,79.3,998.56,0.67,82.7,1,0.05366086644630075,Pattern-Based Anomaly,Low
2017-01-01 01:50:00,-5.77,80.5,998.42,0.73,180.6,1,0.08293118131652916,Pattern-Based Anomaly,Low
2017-01-01 02:00:00,-5.78,79.5,998.26,1.04,200.2,1,0.09112185152793345,Pattern-Based Anomaly,Low
2017-01-01 02:10:00,-5.72,78.0,998.09,0.88,179.7,1,0.08447933059488927,Pattern-Based Anomaly,Low
2017-01-01 02:20:00,-6.11,81.0,997.93,0.74,171.5,1,0.05194447032248817,Pattern-Based Anomaly,Low
2017-01-01 02:30:00,-6.18,82.6,997.83,0.35,337.0,1,0.07203212433034117,Pattern-Based Anomaly,Low
2017-01-01 02:40:00,-6.09,81.3,997.69,0.61,167.2,1,0.09001797712895643,Pattern-Based Anomaly,Low
2017-01-01 02:50:00,-6.39,82.2,997.57,0.8,214.2,1,0.10192638335047582,Pattern-Based Anomaly,Low
2017-01-01 03:00:00,-6.09,81.3,997.46,0.68,208.3,1,0.10248364590766013,Pattern-Based Anomaly,Low
2017-01-01 03:10:00,-5.73,80.2,997.31,0.72,226.7,1,0.08446536881694178,Pattern-Based Anomaly,Low
2017-01-01 03:20:00,-5.39,78.4,997.2,0.8,214.2,1,0.09836162609029947,Pattern-Based Anomaly,Low
2017-01-01 03:30:00,-5.35,78.3,997.02,0.85,203.3,1,0.08891521593504825,Pattern-Based Anomaly,Low
2017-01-01 03:40:00,-5.63,78.6,996.96,0.67,174.6,1,0.09770484748109504,Pattern-Based Anomaly,Low
2017-01-01 03:50:00,-5.96,79.7,996.82,0.32,221.5,1,0.08425928696947821,Pattern-Based Anomaly,Low
2017-01-01 04:00:00,-6.09,81.1,996.74,0.35,220.2,1,0.09712236749076186,Pattern-Based Anomaly,Low
2017-01-01 04:10:00,-6.05,80.8,996.63,0.38,188.7,1,0.11738539823666816,Pattern-Based Anomaly,Low
2017-01-01 04:20:00,-6.43,82.1,996.55,0.53,220.5,1,0.08473875938321046,Pattern-Based Anomaly,Low
2017-01-01 04:30:00,-6.91,82.0,996.48,0.65,146.2,1,0.08799380161571402,Pattern-Based Anomaly,Low
2017-01-01 04:40:00,-7.68,85.8,996.36,1.14,159.7,1,0.019921426459827196,Pattern-Based Anomaly,Low
2017-01-01 04:50:00,-7.9,88.7,996.2,0.84,150.7,1,0.012658226217594604,Pattern-Based Anomaly,Low
2017-01-01 05:00:00,-7.74,89.8,996.02,0.33,262.7,1,0.008211228839835716,Pattern-Based Anomaly,Low
2017-01-01 05:10:00,-7.44,89.0,995.84,1.3,212.4,1,0.04750188674568179,Pattern-Based Anomaly,Low
2017-01-01 05:20:00,-6.65,86.4,995.72,1.73,199.5,1,0.04227464418771221,Pattern-Based Anomaly,Low
2017-01-01 05:30:00,-6.54,85.1,995.67,1.6,198.6,1,0.09125016683615378,Pattern-Based Anomaly,Low
2017-01-01 05:40:00,-6.75,85.0,995.65,1.46,185.0,1,0.08921423770853143,Pattern-Based Anomaly,Low
2017-01-01 05:50:00,-7.1,86.4,995.64,1.56,173.9,1,0.09029042430967688,Pattern-Based Anomaly,Low
2017-01-01 06:00:00,-7.44,87.3,995.54,1.18,191.4,1,0.11269233853638294,Pattern-Based Anomaly,Low
2017-01-01 06:10:00,-7.73,88.4,995.38,0.46,236.6,1,0.08630896565546708,Pattern-Based Anomaly,Low
2017-01-01 06:20:00,-7.25,89.0,995.27,1.12,183.4,1,0.09387954390554104,Pattern-Based Anomaly,Low
2017-01-01 06:30:00,-7.21,86.7,995.21,1.09,194.3,1,0.10462798000528872,Pattern-Based Anomaly,Low
2017-01-01 06:40:00,-7.28,87.3,995.14,1.6,203.8,1,0.1208390826607415,Pattern-Based Anomaly,Low
2017-01-01 06:50:00,-7.18,86.7,995.1,0.66,203.1,1,0.11975960594903368,Pattern-Based Anomaly,Low
2017-01-01 07:00:00,-7.1,86.1,995.05,1.09,203.7,1,0.1333260663215861,Pattern-Based Anomaly,Low
2017-01-01 07:10:00,-6.85,86.0,994.95,1.43,214.9,1,0.13050920705040608,Pattern-Based Anomaly,Low
2017-01-01 07:20:00,-6.88,85.0,994.82,0.94,161.3,1,0.12478275306517606,Pattern-Based Anomaly,Low
2017-01-01 07:30:00,-6.96,85.7,994.69,1.13,192.6,1,0.1198831456304364,Pattern-Based Anomaly,Low
2017-01-01 07:40:00,-6.67,84.9,994.66,0.65,179.2,1,0.12463928455410456,Pattern-Based Anomaly,Low
2017-01-01 07:50:00,-6.56,85.3,994.65,0.34,67.14,1,0.11079070130112667,Pattern-Based Anomaly,Low
2017-01-01 08:00:00,-6.57,86.1,994.63,0.56,52.13,1,0.11855186104559479,Pattern-Based Anomaly,Low
2017-01-01 08:10:00,-6.51,86.0,994.65,0.32,77.4,1,0.12067641634104087,Pattern-Based Anomaly,Low
2017-01-01 08:20:00,-6.62,85.2,994.63,0.36,242.1,1,0.12151446038646879,Pattern-Based Anomaly,Low
2017-01-01 08:30:00,-6.87,85.5,994.52,0.72,241.0,1,0.11939921865954173,Pattern-Based Anomaly,Low
2017-01-01 08:40:00,-6.57,83.2,994.51,0.99,244.6,1,0.11315682141496225,Pattern-Based Anomaly,Low
2017-01-01 08:50:00,-6.36,80.0,994.43,1.07,243.4,1,0.08892680802758351,Pattern-Based Anomaly,Low
2017-01-01 09:00:00,-6.97,81.3,994.47,0.44,57.26,1,0.06566413360800927,Pattern-Based Anomaly,Low
2017-01-01 09:10:00,-7.02,82.6,994.42,0.33,116.2,1,0.10431493980612677,Pattern-Based Anomaly,Low
2017-01-01 09:20:00,-6.56,82.5,994.42,0.32,81.2,1,0.09707245318341035,Pattern-Based Anomaly,Low
2017-01-01 09:30:00,-6.19,81.3,994.42,0.36,216.3,1,0.11845873654331845,Pattern-Based Anomaly,Low
2017-01-01 09:40:00,-5.83,80.3,994.39,0.29,16.7,1,0.09156748157277061,Pattern-Based Anomaly,Low
2017-01-01 09:50:00,-5.92,79.5,994.29,0.78,201.2,1,0.11960463937720756,Pattern-Based Anomaly,Low
2017-01-01 10:00:00,-5.95,80.8,994.16,0.86,216.1,1,0.11759062264843095,Pattern-Based Anomaly,Low
2017-01-01 10:10:00,-5.64,79.8,994.03,0.82,203.3,1,0.11771956332103967,Pattern-Based Anomaly,Low
2017-01-01 10:20:00,-5.53,78.2,993.94,0.91,200.4,1,0.1312751822142878,Pattern-Based Anomaly,Low
2017-01-01 10:30:00,-5.3,78.5,993.81,1.01,207.1,1,0.12450867802055021,Pattern-Based Anomaly,Low
2017-01-01 10:40:00,-5.24,79.0,993.68,1.29,200.6,1,0.1252533192963166,Pattern-Based Anomaly,Low
2017-01-01 10:50:00,-4.92,79.6,993.56,1.17,188.4,1,0.11944648125550039,Pattern-Based Anomaly,Low
2017-01-01 11:00:00,-4.28,78.2,993.46,0.61,174.3,1,0.09096554745041102,Pattern-Based Anomaly,Low
2017-01-01 11:10:00,-3.21,72.1,993.33,0.36,164.5,-1,-0.007111074603500134,Pattern-Based Anomaly,Low
2017-01-01 11:20:00,-2.97,68.72,993.29,0.93,146.5,1,0.02511145254035596,Pattern-Based Anomaly,Low
2017-01-01 11:30:00,-2.85,69.76,993.17,0.86,173.1,1,0.05677380944247423,Pattern-Based Anomaly,Low
2017-01-01 11:40:00,-2.56,68.89,993.09,0.93,145.8,1,0.05919087241402776,Pattern-Based Anomaly,Low
2017-01-01 11:50:00,-2.53,69.51,992.87,1.13,183.4,1,0.06436007013913636,Pattern-Based Anomaly,Low
2017-01-01 12:00:00,-2.31,69.49,992.69,0.74,142.9,1,0.10510643613549142,Pattern-Based Anomaly,Low
2017-01-01 12:10:00,-2.12,69.48,992.58,0.78,70.1,1,0.0835806711388058,Pattern-Based Anomaly,Low
2017-01-01 12:20:00,-1.79,69.55,992.48,0.94,62.38,1,0.08222209398568031,Pattern-Based Anomaly,Low
2017-01-01 12:30:00,-1.16,68.56,992.27,0.52,93.5,1,0.03203950923011267,Pattern-Based Anomaly,Low
2017-01-01 12:40:00,-0.24,65.55,992.17,0.78,155.1,1,0.036874055242282266,Pattern-Based Anomaly,Low
2017-01-01 12:50:00,0.47,62.86,992.12,0.52,359.1,1,0.03386099205001636,Pattern-Based Anomaly,Low
2017-01-01 13:00:00,0.63,62.87,992.0,0.47,5.25,1,0.04686006578340851,Pattern-Based Anomaly,Low
2017-01-01 13:10:00,1.5,60.3,991.81,0.71,196.7,1,0.007560725719085726,Pattern-Based Anomaly,Low
2017-01-01 13:20:00,1.64,59.6,991.57,0.86,201.6,1,0.03186394637669132,Pattern-Based Anomaly,Low
2017-01-01 13:30:00,1.99,58.72,991.43,0.63,210.7,1,0.0562509931167654,Pattern-Based Anomaly,Low
2017-01-01 13:40:00,2.5,57.0,991.34,0.74,212.2,1,0.0632041519431189,Pattern-Based Anomaly,Low
2017-01-01 13:50:00,2.49,57.11,991.16,0.78,211.2,1,0.07871050545502772,Pattern-Based Anomaly,Low
2017-01-01 14:00:00,2.43,57.09,991.06,0.4,260.1,1,0.1073333193492334,Pattern-Based Anomaly,Low
2017-01-01 14:10:00,2.52,57.19,990.97,0.57,219.6,1,0.12789662928419016,Pattern-Based Anomaly,Low
2017-01-01 14:20:00,2.81,57.03,990.94,0.56,177.5,1,0.12765536995819604,Pattern-Based Anomaly,Low
